NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
307;JAWA BARAT;KABUPATEN KUNINGAN;PUB;0;2016
308;JAWA BARAT;KABUPATEN KUNINGAN;DISKOTIK;0;2016
309;JAWA BARAT;KABUPATEN KUNINGAN;KARAOKE/BAR;0;2016
310;JAWA BARAT;KABUPATEN KUNINGAN;PANTI PIJAT;0;2016
311;JAWA BARAT;KABUPATEN CIREBON;NIGHT CLUB;0;2016
312;JAWA BARAT;KABUPATEN CIREBON;PUB;1;2016
313;JAWA BARAT;KABUPATEN CIREBON;DISKOTIK;0;2016
314;JAWA BARAT;KABUPATEN CIREBON;KARAOKE/BAR;1;2016
315;JAWA BARAT;KABUPATEN CIREBON;PANTI PIJAT;0;2016
316;JAWA BARAT;KABUPATEN MAJALENGKA;NIGHT CLUB;0;2016
317;JAWA BARAT;KABUPATEN MAJALENGKA;PUB;0;2016
318;JAWA BARAT;KABUPATEN MAJALENGKA;DISKOTIK;1;2016
319;JAWA BARAT;KABUPATEN MAJALENGKA;KARAOKE/BAR;1;2016
320;JAWA BARAT;KABUPATEN MAJALENGKA;PANTI PIJAT;0;2016
321;JAWA BARAT;KABUPATEN SUMEDANG;NIGHT CLUB;0;2016
322;JAWA BARAT;KABUPATEN SUMEDANG;PUB;0;2016
323;JAWA BARAT;KABUPATEN SUMEDANG;DISKOTIK;0;2016
324;JAWA BARAT;KABUPATEN SUMEDANG;KARAOKE/BAR;3;2016
325;JAWA BARAT;KABUPATEN SUMEDANG;PANTI PIJAT;0;2016
326;JAWA BARAT;KABUPATEN INDRAMAYU;NIGHT CLUB;0;2016
327;JAWA BARAT;KABUPATEN INDRAMAYU;PUB;0;2016
328;JAWA BARAT;KABUPATEN INDRAMAYU;DISKOTIK;0;2016
329;JAWA BARAT;KABUPATEN INDRAMAYU;KARAOKE/BAR;2;2016
330;JAWA BARAT;KABUPATEN INDRAMAYU;PANTI PIJAT;0;2016
331;JAWA BARAT;KABUPATEN SUBANG;NIGHT CLUB;0;2016
332;JAWA BARAT;KABUPATEN SUBANG;PUB;0;2016
333;JAWA BARAT;KABUPATEN SUBANG;DISKOTIK;0;2016
334;JAWA BARAT;KABUPATEN SUBANG;KARAOKE/BAR;17;2016
335;JAWA BARAT;KABUPATEN SUBANG;PANTI PIJAT;1;2016
336;JAWA BARAT;KABUPATEN PURWAKARTA;NIGHT CLUB;0;2016
337;JAWA BARAT;KABUPATEN PURWAKARTA;PUB;0;2016
338;JAWA BARAT;KABUPATEN PURWAKARTA;DISKOTIK;0;2016
339;JAWA BARAT;KABUPATEN PURWAKARTA;KARAOKE/BAR;8;2016
340;JAWA BARAT;KABUPATEN PURWAKARTA;PANTI PIJAT;0;2016
341;JAWA BARAT;KABUPATEN KARAWANG;NIGHT CLUB;0;2016
342;JAWA BARAT;KABUPATEN KARAWANG;PUB;0;2016
343;JAWA BARAT;KABUPATEN KARAWANG;DISKOTIK;0;2016
344;JAWA BARAT;KABUPATEN KARAWANG;KARAOKE/BAR;13;2016
345;JAWA BARAT;KABUPATEN KARAWANG;PANTI PIJAT;8;2016
346;JAWA BARAT;KABUPATEN BEKASI;NIGHT CLUB;0;2016
347;JAWA BARAT;KABUPATEN BEKASI;PUB;1;2016
348;JAWA BARAT;KABUPATEN BEKASI;DISKOTIK;0;2016
349;JAWA BARAT;KABUPATEN BEKASI;KARAOKE/BAR;25;2016
350;JAWA BARAT;KABUPATEN BEKASI;PANTI PIJAT;7;2016
351;JAWA BARAT;KABUPATEN BANDUNG BARAT;NIGHT CLUB;0;2016
352;JAWA BARAT;KABUPATEN BANDUNG BARAT;PUB;0;2016
353;JAWA BARAT;KABUPATEN BANDUNG BARAT;DISKOTIK;0;2016
354;JAWA BARAT;KABUPATEN BANDUNG BARAT;KARAOKE/BAR;2;2016
355;JAWA BARAT;KABUPATEN BANDUNG BARAT;PANTI PIJAT;0;2016
356;JAWA BARAT;KABUPATEN PANGANDARAN;NIGHT CLUB;0;2016
357;JAWA BARAT;KABUPATEN PANGANDARAN;PUB;0;2016
358;JAWA BARAT;KABUPATEN PANGANDARAN;DISKOTIK;0;2016
